team,season,country,league,rating,gmh,gph,gma,gpa,attack_home_vs_lg,attack_away_vs_lg,defense_home_vs_lg,defense_away_vs_lg
1. FSV Mainz 05,2017-2018,Germany,Bundesliga,,22.0,21.0,16.0,31.0,13.73877551020408,13.413698630136986,17.605479452054794,19.35918367346939
1. FSV Mainz 05,2018-2019,Germany,Bundesliga,,31.0,22.0,15.0,35.0,17.31021897810219,10.8,15.84,19.543795620437955
1. FSV Mainz 05,2019-2020,Germany,Bundesliga,,18.0,29.0,26.0,36.0,10.842519685039369,16.78481012658228,18.72151898734177,21.685039370078737
1. FSV Mainz 05,2020-2021,Germany,Bundesliga,,16.0,26.0,23.0,30.0,9.543859649122806,16.959036144578313,19.171084337349395,17.894736842105264
1. FSV Mainz 05,2021-2022,Germany,Bundesliga,,33.0,11.0,17.0,34.0,18.73469387755102,12.534939759036144,8.110843373493976,19.302411873840445
1. FSV Mainz 05,2022-2023,Germany,Bundesliga,,31.0,25.0,23.0,30.0,16.700704225352112,17.464019851116625,18.982630272952854,16.161971830985916
1. FSV Mainz 05,2023-2024,Germany,Bundesliga,,23.0,18.0,16.0,33.0,12.726943942133815,11.333333333333332,12.75,18.260397830018082
1. FSV Mainz 05,2024-2025,Germany,Bundesliga,,24.0,18.0,31.0,25.0,14.71743486973948,20.621739130434783,11.97391304347826,15.330661322645291
1. FSV Mainz 05,2025-2026,Germany,Bundesliga,,5.0,11.0,10.0,17.0,3.3333333333333335,7.692307692307692,8.461538461538462,11.333333333333334
AS Monaco,2017-2018,France,Ligue 1,,47.0,17.0,38.0,28.0,30.740103270223752,31.94690265486726,14.29203539823009,18.313253012048193
AS Monaco,2018-2019,France,Ligue 1,,19.0,29.0,19.0,28.0,12.915921288014312,17.481840193704603,26.682808716707022,19.033989266547405
AS Monaco,2019-2020,France,Ligue 1,,29.0,22.0,15.0,22.0,19.54196642685851,14.686411149825785,21.54006968641115,14.824940047961631
AS Monaco,2020-2021,France,Ligue 1,,43.0,21.0,33.0,21.0,30.772128060263654,24.20849420849421,15.405405405405405,15.028248587570621
AS Monaco,2021-2022,France,Ligue 1,,38.0,16.0,27.0,24.0,24.026622296173045,22.017167381974247,13.047210300429184,15.174708818635608
AS Monaco,2022-2023,France,Ligue 1,,37.0,33.0,33.0,25.0,24.840989399293285,25.02994011976048,25.02994011976048,16.78445229681979
AS Monaco,2023-2024,France,Ligue 1,,30.0,14.0,38.0,28.0,20.72234762979684,30.36031331592689,11.18537859007833,19.340857787810386
AS Monaco,2024-2025,France,Ligue 1,,38.0,16.0,25.0,25.0,23.634146341463413,18.257756563245824,11.684964200477326,15.548780487804878
AS Monaco,2025-2026,France,Ligue 1,,17.0,15.0,10.0,15.0,10.7578125,9.101123595505618,13.651685393258427,9.4921875
Academica Clinceni,2018-2019,Romania,Liga 1,,1.0,4.0,2.0,5.0,0.7682926829268293,1.7830188679245285,3.566037735849057,3.841463414634146
Academica Clinceni,2019-2020,Romania,Liga 1,,13.0,15.0,14.0,23.0,8.542857142857143,12.73446327683616,13.64406779661017,15.114285714285714
Academica Clinceni,2020-2021,Romania,Liga 1,,14.0,14.0,17.0,16.0,11.818181818181818,15.729537366548044,12.95373665480427,13.506493506493506
Academica Clinceni,2021-2022,Romania,Liga 1,,11.0,28.0,9.0,32.0,8.821782178217822,9.266949152542372,28.83050847457627,25.663366336633665
Adanaspor,2021-2022,Turkey,Super Lig,,35.0,17.0,25.0,30.0,21.947194719471945,20.607375271149674,14.013015184381777,18.81188118811881
Adanaspor,2022-2023,Turkey,Super Lig,,43.0,19.0,30.0,26.0,25.43097014925373,22.11627906976744,14.006976744186046,15.376865671641792
Adanaspor,2023-2024,Turkey,Super Lig,,33.0,30.0,21.0,31.0,20.9,17.272727272727273,24.675324675324674,19.633333333333333
Adanaspor,2024-2025,Turkey,Super Lig,,14.0,42.0,20.0,47.0,8.434628975265017,15.750577367205542,33.07621247113164,28.31625441696113
Ajaccio,2016-2017,,,,,,0.0,0.0,,,,
Ajaccio,2017-2018,France,Ligue 2,,36.0,19.0,26.0,25.0,23.62694300518135,21.858407079646017,15.97345132743363,16.407599309153714
Ajaccio,2018-2019,France,Ligue 2,,22.0,23.0,11.0,26.0,18.341356673960615,10.746153846153847,22.46923076923077,21.676148796498907
Ajaccio,2019-2020,France,Ligue 2,,15.0,10.0,21.0,10.0,13.495145631067961,20.270833333333332,9.652777777777779,8.996763754045308
Ajaccio,2020-2021,France,Ligue 2,,24.0,18.0,15.0,28.0,17.954887218045112,14.080188679245284,16.89622641509434,20.94736842105263
Ajaccio,2021-2022,France,Ligue 2,,18.0,7.0,16.0,9.0,14.299785867237686,16.130434782608695,7.057065217391305,7.149892933618843
Ajaccio,2022-2023,France,Ligue 1,,10.0,30.0,13.0,44.0,6.713780918727915,9.860279441117765,22.75449101796407,29.540636042402827
Ajaccio,2023-2024,France,Ligue 2,,26.0,14.0,9.0,32.0,19.564356435643564,7.972027972027972,12.4009324009324,24.07920792079208
Ajaccio,2024-2025,France,Ligue 2,,22.0,17.0,8.0,25.0,14.603036876355748,7.463414634146342,15.859756097560975,16.594360086767896
Akhisar,2017-2018,Turkey,Super Lig,,20.0,24.0,24.0,29.0,11.86046511627907,18.83076923076923,18.83076923076923,17.197674418604652
Akhisar,2018-2019,Turkey,Super Lig,,21.0,26.0,12.0,28.0,13.643312101910828,10.491428571428573,22.731428571428573,18.19108280254777
Alanyaspor,2017-2018,Turkey,Super Lig,,30.0,28.0,25.0,31.0,17.790697674418606,19.615384615384617,21.96923076923077,18.38372093023256
Alanyaspor,2018-2019,Turkey,Super Lig,,23.0,13.0,14.0,30.0,14.942675159235668,12.24,11.365714285714287,19.49044585987261
Alanyaspor,2019-2020,Turkey,Super Lig,,36.0,15.0,25.0,22.0,22.344827586206897,20.026178010471202,12.015706806282722,13.655172413793103
Alanyaspor,2020-2021,Turkey,Super Lig,,42.0,21.0,16.0,24.0,27.911392405063292,13.333333333333334,17.5,15.949367088607595
Alanyaspor,2021-2022,Turkey,Super Lig,,39.0,31.0,28.0,27.0,24.455445544554454,23.080260303687634,25.553145336225594,16.93069306930693
Alanyaspor,2022-2023,Turkey,Super Lig,,26.0,27.0,22.0,43.0,15.376865671641792,16.218604651162792,19.904651162790696,25.43097014925373
Alanyaspor,2023-2024,Turkey,Super Lig,,32.0,26.0,21.0,24.0,20.266666666666666,17.272727272727273,21.385281385281385,15.2
Alanyaspor,2024-2025,Turkey,Super Lig,,26.0,21.0,17.0,29.0,15.664310954063604,13.387990762124712,16.53810623556582,17.47173144876325
Alanyaspor,2025-2026,Turkey,Super Lig,,6.0,3.0,10.0,12.0,4.865671641791045,8.190954773869347,2.457286432160804,9.73134328358209
Alaves,2017-2018,Spain,Primera,,21.0,23.0,19.0,27.0,13.571428571428573,16.559633027522935,20.045871559633028,17.448979591836736
Alaves,2018-2019,Spain,Primera,,19.0,19.0,20.0,31.0,13.079710144927535,17.633410672853827,16.751740139211137,21.340579710144926
Alaves,2019-2020,Spain,Primera,,20.0,19.0,14.0,40.0,13.91941391941392,13.434343434343436,18.232323232323235,27.83882783882784
Alaves,2020-2021,Spain,Primera,,21.0,25.0,15.0,32.0,15.346153846153845,13.163972286374133,21.939953810623553,23.384615384615383
Alaves,2021-2022,Spain,Primera,,17.0,21.0,14.0,44.0,11.962962962962964,12.94403892944039,19.416058394160586,30.962962962962962
Alaves,2023-2024,Spain,Primera,,23.0,19.0,13.0,27.0,15.49645390070922,11.201814058956916,16.3718820861678,18.19148936170213
Alaves,2024-2025,Spain,Primera,,14.0,17.0,24.0,31.0,9.63768115942029,20.58690744920993,14.582392776523703,21.340579710144926
Alaves,2025-2026,Spain,Primera,,12.0,10.0,4.0,14.0,8.715328467153284,3.8640776699029127,9.660194174757281,10.167883211678832
Alessandria,2021-2022,Italy,Serie B,,16.0,23.0,21.0,36.0,11.603053435114504,19.09090909090909,20.909090909090907,26.106870229007633
Alkmaar,2017-2018,Netherlands,Eredivisie,,40.0,23.0,32.0,15.0,23.2258064516129,22.614318706697457,16.254041570438797,8.709677419354838
Alkmaar,2018-2019,Netherlands,Eredivisie,,35.0,15.0,29.0,28.0,17.44299674267101,19.85234899328859,10.268456375838927,13.954397394136809
Alkmaar,2019-2020,Netherlands,Eredivisie,,32.0,8.0,22.0,9.0,17.174311926605505,18.451612903225808,6.709677419354839,4.830275229357798
Alkmaar,2020-2021,Netherlands,Eredivisie,,39.0,18.0,36.0,23.0,24.256097560975608,25.738317757009348,12.869158878504674,14.304878048780488
Alkmaar,2021-2022,Netherlands,Eredivisie,,36.0,20.0,28.0,24.0,22.95,21.691139240506327,15.493670886075948,15.3
Alkmaar,2022-2023,Netherlands,Eredivisie,,36.0,20.0,32.0,15.0,20.824196597353495,24.118226600985224,15.073891625615763,8.676748582230623
Alkmaar,2023-2024,Netherlands,Eredivisie,,41.0,18.0,29.0,21.0,23.190388170055453,19.676274944567627,12.212860310421286,11.878003696857672
Alkmaar,2024-2025,Netherlands,Eredivisie,,30.0,17.0,28.0,20.0,17.6878612716763,21.691139240506327,13.169620253164556,11.791907514450868
Alkmaar,2025-2026,Netherlands,Eredivisie,,19.0,15.0,13.0,13.0,11.577060931899641,9.822222222222223,11.333333333333334,7.921146953405018
Almelo,2017-2018,Netherlands,Eredivisie,,29.0,25.0,21.0,39.0,16.838709677419352,14.840646651270207,17.66743648960739,22.64516129032258
Almelo,2018-2019,Netherlands,Eredivisie,,42.0,32.0,19.0,36.0,20.93159609120521,13.006711409395974,21.906040268456376,17.941368078175895
Almelo,2019-2020,Netherlands,Eredivisie,,31.0,17.0,9.0,17.0,16.637614678899084,7.548387096774194,14.258064516129032,9.123853211009173
Almelo,2020-2021,Netherlands,Eredivisie,,29.0,16.0,13.0,37.0,18.036585365853657,9.294392523364486,11.439252336448599,23.01219512195122
Almelo,2021-2022,Netherlands,Eredivisie,,22.0,21.0,11.0,28.0,14.025,8.521518987341771,16.268354430379745,17.85
Almelo,2023-2024,Netherlands,Eredivisie,,25.0,35.0,16.0,39.0,14.140480591497228,10.855875831485587,23.747228381374722,22.059149722735675
Almelo,2024-2025,Netherlands,Eredivisie,,29.0,27.0,13.0,36.0,17.09826589595376,10.070886075949366,20.91645569620253,21.22543352601156
Almelo,2025-2026,Netherlands,Eredivisie,,18.0,21.0,8.0,23.0,10.967741935483872,6.044444444444444,15.866666666666667,14.014336917562725
Almere,2023-2024,Netherlands,Eredivisie,,18.0,30.0,15.0,29.0,10.181146025878004,10.177383592017737,20.354767184035474,16.402957486136785
Almere,2024-2025,Netherlands,Eredivisie,,13.0,36.0,10.0,28.0,7.664739884393064,7.746835443037974,27.88860759493671,16.508670520231213
Almeria,2022-2023,Spain,Primera,,29.0,22.0,20.0,43.0,19.92766726943942,18.905472636815922,20.796019900497512,29.547920433996385
Almeria,2023-2024,Spain,Primera,,22.0,36.0,21.0,39.0,14.822695035460994,18.095238095238095,31.02040816326531,26.27659574468085
Altay,2021-2022,Turkey,Super Lig,,20.0,27.0,19.0,30.0,12.541254125412541,15.661605206073752,22.255965292841648,18.81188118811881
Alverca,2025-2026,Portugal,Primeira L,,7.0,13.0,9.0,10.0,5.349056603773585,7.75531914893617,11.202127659574467,7.641509433962264
Amiens,2017-2018,France,Ligue 1,,26.0,19.0,11.0,23.0,17.005163511187607,9.24778761061947,15.97345132743363,15.04302925989673
Amiens,2018-2019,France,Ligue 1,,20.0,22.0,11.0,30.0,13.595706618962433,10.121065375302663,20.242130750605327,20.39355992844365
Amiens,2019-2020,France,Ligue 1,,17.0,23.0,14.0,27.0,11.455635491606715,13.707317073170733,22.519163763066203,18.194244604316548
Amiens,2020-2021,France,Ligue 2,,16.0,14.0,20.0,31.0,11.969924812030076,18.77358490566038,13.141509433962264,23.19172932330827
Amiens,2021-2022,France,Ligue 2,,25.0,14.0,16.0,25.0,19.86081370449679,16.130434782608695,14.11413043478261,19.86081370449679
Amiens,2022-2023,France,Ligue 2,,20.0,22.0,20.0,27.0,15.081300813008129,18.230958230958233,20.054054054054056,20.359756097560975
Amiens,2023-2024,France,Ligue 2,,17.0,16.0,19.0,20.0,12.792079207920791,16.82983682983683,14.172494172494172,15.049504950495049
Amiens,2024-2025,France,Ligue 2,,26.0,20.0,12.0,30.0,17.25813449023861,11.195121951219512,18.658536585365855,19.913232104121477
Amiens,2025-2026,France,Ligue 2,,8.0,13.0,14.0,15.0,6.333333333333334,12.340206185567009,11.458762886597938,11.875
Amsterdam,2017-2018,Netherlands,Eredivisie,,45.0,12.0,44.0,21.0,26.129032258064516,31.094688221709006,8.480369515011548,12.193548387096774
Amsterdam,2018-2019,Netherlands,Eredivisie,,70.0,13.0,49.0,19.0,34.88599348534202,33.54362416107383,8.899328859060404,9.469055374592834
Amsterdam,2019-2020,Netherlands,Eredivisie,,40.0,8.0,28.0,15.0,21.46788990825688,23.483870967741936,6.709677419354839,8.05045871559633
Amsterdam,2020-2021,Netherlands,Eredivisie,,53.0,14.0,49.0,9.0,32.96341463414634,35.032710280373834,10.009345794392525,5.597560975609756
Amsterdam,2021-2022,Netherlands,Eredivisie,,62.0,8.0,36.0,11.0,39.525,27.88860759493671,6.197468354430379,7.0125
Amsterdam,2022-2023,Netherlands,Eredivisie,,47.0,14.0,39.0,24.0,27.187145557655953,29.39408866995074,10.551724137931036,13.882797731568997
Amsterdam,2023-2024,Netherlands,Eredivisie,,39.0,21.0,35.0,40.0,22.059149722735675,23.747228381374722,14.248337028824833,22.624768946395566
Amsterdam,2024-2025,Netherlands,Eredivisie,,38.0,14.0,29.0,18.0,22.404624277456648,22.465822784810126,10.845569620253164,10.61271676300578
Amsterdam,2025-2026,Netherlands,Eredivisie,,15.0,7.0,17.0,15.0,9.13978494623656,12.844444444444445,5.288888888888889,9.13978494623656
Angers,2017-2018,France,Ligue 1,,23.0,28.0,19.0,24.0,15.04302925989673,15.97345132743363,23.53982300884956,15.697074010327023
Angers,2018-2019,France,Ligue 1,,24.0,22.0,20.0,27.0,16.31484794275492,18.401937046004843,20.242130750605327,18.354203935599283
Angers,2019-2020,France,Ligue 1,,20.0,13.0,8.0,20.0,13.477218225419664,7.832752613240419,12.72822299651568,13.477218225419664
Angers,2020-2021,France,Ligue 1,,20.0,27.0,20.0,31.0,14.312617702448211,14.671814671814671,19.806949806949806,22.184557438794727
Angers,2021-2022,France,Ligue 1,,23.0,23.0,21.0,32.0,14.542429284525792,17.124463519313306,18.755364806866954,20.232945091514143
Angers,2022-2023,France,Ligue 1,,20.0,36.0,13.0,45.0,13.42756183745583,9.860279441117765,27.305389221556887,30.21201413427562
Angers,2023-2024,France,Ligue 2,,31.0,15.0,25.0,27.0,23.326732673267326,22.144522144522142,13.286713286713287,20.316831683168317
Angers,2024-2025,France,Ligue 1,,18.0,33.0,14.0,20.0,11.195121951219512,10.22434367541766,24.100238663484486,12.439024390243903
Angers,2025-2026,France,Ligue 1,,12.0,7.0,6.0,13.0,7.59375,5.460674157303371,6.370786516853933,8.2265625
Ankaragucu,2018-2019,Turkey,Super Lig,,20.0,22.0,18.0,31.0,12.993630573248407,15.737142857142858,19.234285714285715,20.14012738853503
Ankaragucu,2019-2020,Turkey,Super Lig,,15.0,30.0,16.0,26.0,9.310344827586206,12.81675392670157,24.031413612565444,16.137931034482758
Ankaragucu,2020-2021,Turkey,Super Lig,,26.0,25.0,20.0,40.0,17.27848101265823,16.666666666666668,20.833333333333336,26.582278481012658
Ankaragucu,2022-2023,Turkey,Super Lig,,24.0,28.0,16.0,25.0,14.194029850746269,11.795348837209302,20.641860465116277,14.78544776119403
Ankaragucu,2023-2024,Turkey,Super Lig,,21.0,18.0,25.0,34.0,13.299999999999999,20.562770562770563,14.805194805194805,21.53333333333333
Annecy,2021-2022,France,Ligue 2,,1.0,2.0,,,0.7944325481798715,,2.016304347826087,
Annecy,2022-2023,France,Ligue 2,,17.0,16.0,21.0,33.0,12.81910569105691,19.142506142506143,14.584766584766585,24.884146341463413
Annecy,2023-2024,France,Ligue 2,,22.0,27.0,27.0,23.0,16.554455445544555,23.916083916083913,23.916083916083913,17.306930693069308
Annecy,2024-2025,France,Ligue 2,,24.0,16.0,18.0,27.0,15.93058568329718,16.79268292682927,14.926829268292684,17.92190889370933
Annecy,2025-2026,France,Ligue 2,,11.0,8.0,11.0,12.0,8.708333333333334,9.695876288659793,7.051546391752577,9.5
Antalyaspor,2017-2018,Turkey,Super Lig,,25.0,23.0,15.0,36.0,14.825581395348838,11.76923076923077,18.046153846153846,21.348837209302324
Antalyaspor,2018-2019,Turkey,Super Lig,,22.0,22.0,17.0,33.0,14.292993630573248,14.862857142857143,19.234285714285715,21.43949044585987
Antalyaspor,2019-2020,Turkey,Super Lig,,22.0,29.0,19.0,23.0,13.655172413793103,15.219895287958115,23.230366492146597,14.275862068965516
Antalyaspor,2020-2021,Turkey,Super Lig,,24.0,28.0,17.0,27.0,15.949367088607595,14.166666666666668,23.333333333333336,17.943037974683545
Antalyaspor,2021-2022,Turkey,Super Lig,,34.0,19.0,20.0,28.0,21.32013201320132,16.485900216919738,15.661605206073752,17.557755775577558
Antalyaspor,2022-2023,Turkey,Super Lig,,28.0,26.0,15.0,29.0,16.559701492537314,11.05813953488372,19.167441860465114,17.151119402985074
Antalyaspor,2023-2024,Turkey,Super Lig,,22.0,18.0,22.0,31.0,13.933333333333334,18.095238095238095,14.805194805194805,19.633333333333333
Antalyaspor,2024-2025,Turkey,Super Lig,,23.0,22.0,14.0,40.0,13.856890459363957,11.02540415704388,17.325635103926096,24.09893992932862
Antalyaspor,2025-2026,Turkey,Super Lig,,9.0,22.0,7.0,9.0,7.298507462686567,5.733668341708542,18.020100502512562,7.298507462686567
Arnhem,2017-2018,Netherlands,Eredivisie,,35.0,20.0,28.0,27.0,20.32258064516129,19.787528868360276,14.133949191685911,15.677419354838708
Arnhem,2018-2019,Netherlands,Eredivisie,,45.0,25.0,25.0,26.0,22.42671009771987,17.114093959731544,17.114093959731544,12.957654723127035
Arnhem,2019-2020,Netherlands,Eredivisie,,24.0,15.0,21.0,20.0,12.880733944954128,17.612903225806452,12.580645161290322,10.73394495412844
Arnhem,2020-2021,Netherlands,Eredivisie,,26.0,12.0,26.0,26.0,16.170731707317074,18.588785046728972,8.57943925233645,16.170731707317074
Arnhem,2021-2022,Netherlands,Eredivisie,,20.0,29.0,22.0,22.0,12.75,17.043037974683543,22.465822784810126,14.025
Arnhem,2022-2023,Netherlands,Eredivisie,,24.0,25.0,21.0,25.0,13.882797731568997,15.827586206896552,18.842364532019705,14.46124763705104
Arnhem,2023-2024,Netherlands,Eredivisie,,15.0,30.0,15.0,44.0,8.484288354898336,10.177383592017737,20.354767184035474,24.88724584103512
Arouca,2021-2022,Portugal,Primeira L,,15.0,29.0,15.0,25.0,10.479452054794521,12.439024390243903,24.04878048780488,17.465753424657535
Arouca,2022-2023,Portugal,Primeira L,,22.0,17.0,14.0,20.0,15.547344110854503,12.981818181818182,15.763636363636364,14.133949191685911
Arouca,2023-2024,Portugal,Primeira L,,26.0,26.0,28.0,24.0,16.40412371134021,21.857142857142858,20.29591836734694,15.142268041237115
Arouca,2024-2025,Portugal,Primeira L,,16.0,19.0,19.0,30.0,11.466042154566745,16.285714285714285,16.285714285714285,21.498829039812648
Arouca,2025-2026,Portugal,Primeira L,,10.0,19.0,8.0,23.0,7.641509433962264,6.8936170212765955,16.372340425531913,17.57547169811321
Arsenal,2017-2018,England,Premier L,,54.0,20.0,20.0,31.0,35.25773195876288,17.431192660550458,17.431192660550458,20.240549828178693
Arsenal,2018-2019,England,Premier L,,42.0,16.0,31.0,35.0,26.778523489932887,24.747899159663866,12.77310924369748,22.315436241610737
Arsenal,2019-2020,England,Premier L,,36.0,24.0,20.0,24.0,23.75,16.593886462882097,19.912663755458517,15.833333333333332
Arsenal,2020-2021,England,Premier L,,24.0,21.0,31.0,18.0,17.7431906614786,23.098039215686274,15.647058823529413,13.30739299610895
Arsenal,2021-2022,England,Premier L,,35.0,17.0,26.0,31.0,23.130434782608695,19.919354838709676,13.024193548387096,20.48695652173913
Arsenal,2022-2023,England,Premier L,,53.0,25.0,35.0,18.0,32.43156199677939,28.725701943844495,20.518358531317496,11.014492753623188
Arsenal,2023-2024,England,Premier L,,48.0,16.0,43.0,13.0,26.666666666666664,29.07473309608541,10.818505338078293,7.222222222222222
Arsenal,2024-2025,England,Premier L,,35.0,17.0,34.0,17.0,23.130434782608695,23.925925925925927,11.962962962962964,11.234782608695653
Arsenal,2025-2026,England,Premier L,,24.0,4.0,14.0,9.0,16.448598130841123,12.469635627530364,3.562753036437247,6.168224299065421
Ascoli,2017-2018,Italy,Serie B,,23.0,24.0,17.0,36.0,16.051359516616316,15.103846153846153,21.323076923076922,25.123867069486405
Ascoli,2018-2019,Italy,Serie B,,25.0,24.0,15.0,32.0,16.505791505791507,13.902439024390244,22.24390243902439,21.127413127413128
Ascoli,2019-2020,Italy,Serie B,,29.0,24.0,21.0,34.0,20.636704119850187,18.954869358669832,21.66270783847981,24.194756554307116
Ascoli,2020-2021,Italy,Serie B,,18.0,19.0,19.0,29.0,13.818181818181818,17.27272727272727,17.27272727272727,22.262626262626263
Ascoli,2021-2022,Italy,Serie B,,24.0,18.0,28.0,24.0,17.404580152671755,25.454545454545453,16.363636363636363,17.404580152671755
Ascoli,2022-2023,Italy,Serie B,,20.0,22.0,20.0,25.0,15.447154471544716,19.047619047619047,20.952380952380953,19.308943089430894
Ascoli,2023-2024,Italy,Serie B,,19.0,16.0,19.0,26.0,14.18467583497053,16.080178173719375,13.54120267260579,19.410609037328094
Aston Villa,2017-2018,England,Championship,,42.0,19.0,30.0,23.0,29.7612323491656,26.28571428571429,16.64761904761905,16.297817715019256
Aston Villa,2018-2019,England,Championship,,50.0,36.0,32.0,25.0,33.014354066985646,27.729984301412877,31.196232339089484,16.507177033492823
Aston Villa,2019-2020,England,Premier L,,22.0,30.0,19.0,37.0,14.51388888888889,15.764192139737991,24.890829694323145,24.40972222222222
Aston Villa,2020-2021,England,Premier L,,29.0,27.0,26.0,19.0,21.43968871595331,19.372549019607845,20.11764705882353,14.04669260700389
Aston Villa,2021-2022,England,Premier L,,29.0,29.0,23.0,25.0,19.16521739130435,17.620967741935484,22.21774193548387,16.521739130434785
Aston Villa,2022-2023,England,Premier L,,33.0,21.0,18.0,25.0,20.193236714975843,14.773218142548597,17.235421166306697,15.297906602254427
Aston Villa,2023-2024,England,Premier L,,48.0,28.0,28.0,33.0,26.666666666666664,18.93238434163701,18.93238434163701,18.333333333333332
Aston Villa,2024-2025,England,Premier L,,34.0,20.0,24.0,31.0,22.469565217391306,16.88888888888889,14.074074074074074,20.48695652173913
Aston Villa,2025-2026,England,Premier L,,18.0,8.0,13.0,15.0,12.336448598130842,11.578947368421051,7.125506072874494,10.280373831775702
Astra Giurgiu,2016-2017,Romania,Liga 1,,4.0,0.0,1.0,3.0,3.230769230769231,1.1666666666666667,0.0,2.423076923076923
Astra Giurgiu,2017-2018,Romania,Liga 1,,21.0,16.0,12.0,12.0,16.935483870967744,10.880829015544043,14.50777202072539,9.67741935483871
Astra Giurgiu,2018-2019,Romania,Liga 1,,21.0,14.0,17.0,12.0,16.134146341463413,15.155660377358492,12.481132075471699,9.21951219512195
Astra Giurgiu,2019-2020,Romania,Liga 1,,22.0,11.0,12.0,14.0,14.457142857142856,10.915254237288137,10.005649717514125,9.2
Astra Giurgiu,2020-2021,Romania,Liga 1,,18.0,18.0,20.0,21.0,15.194805194805195,18.505338078291818,16.654804270462634,17.727272727272727
Atalanta,2017-2018,Italy,Serie A,,30.0,18.0,27.0,21.0,20.61482820976492,22.112068965517242,14.741379310344827,14.430379746835444
Atalanta,2018-2019,Italy,Serie A,,36.0,19.0,41.0,27.0,24.25531914893617,34.24175824175824,15.868131868131867,18.19148936170213
Atalanta,2019-2020,Italy,Serie A,,51.0,24.0,47.0,22.0,31.45,33.314176245210724,17.011494252873565,13.566666666666666
Atalanta,2020-2021,Italy,Serie A,,49.0,26.0,41.0,23.0,30.0,28.655913978494624,18.172043010752688,14.081632653061225
Atalanta,2021-2022,Italy,Serie A,,31.0,29.0,34.0,19.0,20.63047285464098,24.942084942084943,21.274131274131275,12.644483362521893
Atalanta,2022-2023,Italy,Serie A,,38.0,26.0,28.0,22.0,26.890130353817504,24.347826086956523,22.608695652173914,15.567970204841712
Atalanta,2023-2024,Italy,Serie A,,42.0,16.0,30.0,26.0,29.28440366972477,25.503355704697988,13.601789709172259,18.128440366972477
Atalanta,2024-2025,Italy,Serie A,,36.0,24.0,42.0,13.0,26.8762278978389,34.39655172413793,19.655172413793103,9.705304518664047
Atalanta,2025-2026,Italy,Serie A,,14.0,9.0,11.0,10.0,12.838427947598255,11.21359223300971,9.174757281553399,9.170305676855897
Atletico,2017-2018,Spain,Primera,,30.0,8.0,28.0,14.0,19.387755102040817,24.40366972477064,6.972477064220183,9.047619047619047
Atletico,2018-2019,Spain,Primera,,32.0,10.0,23.0,19.0,22.028985507246375,20.2784222737819,8.816705336426914,13.079710144927535
Atletico,2019-2020,Spain,Primera,,28.0,11.0,23.0,16.0,19.487179487179485,22.070707070707073,10.555555555555557,11.135531135531135
Atletico,2020-2021,Spain,Primera,,41.0,11.0,26.0,14.0,29.96153846153846,22.817551963048498,9.653579676674363,10.23076923076923
Atletico,2021-2022,Spain,Primera,,33.0,16.0,32.0,27.0,23.22222222222222,29.58637469586375,14.793187347931875,19.0
Atletico,2022-2023,Spain,Primera,,41.0,15.0,29.0,18.0,28.17359855334539,27.412935323383085,14.179104477611942,12.368896925858952
Atletico,2023-2024,Spain,Primera,,42.0,22.0,28.0,21.0,28.29787234042553,24.126984126984127,18.956916099773245,14.148936170212766
Atletico,2024-2025,Spain,Primera,,42.0,15.0,26.0,15.0,28.913043478260867,22.302483069977427,12.866817155756209,10.326086956521738
Atletico,2025-2026,Spain,Primera,,22.0,7.0,12.0,10.0,15.978102189781023,11.592233009708737,6.7621359223300965,7.262773722627737
Augsburg,2017-2018,Germany,Bundesliga,,24.0,24.0,19.0,22.0,14.987755102040815,15.928767123287672,20.12054794520548,13.73877551020408
Augsburg,2018-2019,Germany,Bundesliga,,34.0,33.0,17.0,38.0,18.985401459854014,12.24,23.76,21.21897810218978
Augsburg,2019-2020,Germany,Bundesliga,,28.0,29.0,17.0,34.0,16.866141732283463,10.974683544303797,18.72151898734177,20.48031496062992
Augsburg,2020-2021,Germany,Bundesliga,,21.0,25.0,15.0,29.0,12.526315789473683,11.06024096385542,18.433734939759034,17.29824561403509
Augsburg,2021-2022,Germany,Bundesliga,,25.0,26.0,14.0,30.0,14.192949907235622,10.32289156626506,19.171084337349395,17.031539888682747
Augsburg,2022-2023,Germany,Bundesliga,,16.0,24.0,26.0,39.0,8.619718309859154,19.741935483870968,18.22332506203474,21.01056338028169
Augsburg,2023-2024,Germany,Bundesliga,,26.0,26.0,24.0,34.0,14.386980108499095,17.0,18.416666666666664,18.81374321880651
Augsburg,2024-2025,Germany,Bundesliga,,18.0,20.0,17.0,31.0,11.03807615230461,11.308695652173913,13.304347826086957,19.01002004008016
Augsburg,2025-2026,Germany,Bundesliga,,9.0,15.0,8.0,13.0,6.0,6.153846153846153,11.538461538461538,8.666666666666666
Auxerre,2016-2017,France,Ligue 2,,1.0,0.0,,,1.0,,0.0,
Auxerre,2017-2018,France,Ligue 2,,25.0,21.0,26.0,37.0,16.407599309153714,21.858407079646017,17.654867256637168,24.283246977547496
Auxerre,2018-2019,France,Ligue 2,,17.0,15.0,16.0,20.0,14.172866520787746,15.630769230769232,14.653846153846155,16.673960612691467
Auxerre,2019-2020,France,Ligue 2,,19.0,12.0,12.0,16.0,17.093851132686083,11.583333333333334,11.583333333333334,14.394822006472491
